group,slug,url,page_title,median_pay,education,experience,training,jobs_2025,growth,change,openings_per_year,all_occ_median_wage,all_occ_growth_pct,page_last_modified
building-and-grounds-cleaning,janitors-and-building-cleaners,https://www.bls.gov/ooh/building-and-grounds-cleaning/janitors-and-building-cleaners.htm,Janitors and Building Cleaners,"$36,840     per year
                                        $17.71     per hour",No formal educational credential,None,Short-term on-the-job training,"2,432,600",2% (Slower than average),"53,600","321,800",NA,3%,"August 27, 2026"
installation-maintenance-and-repair,general-maintenance-and-repair-workers,https://www.bls.gov/ooh/installation-maintenance-and-repair/general-maintenance-and-repair-workers.htm,General Maintenance and Repair Workers,"$49,590     per year
                                        $23.84     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"1,621,800",4% (As fast as average),"68,600","148,700","$50,980",3%,"August 27, 2026"
office-and-administrative-support,postal-service-workers,https://www.bls.gov/ooh/office-and-administrative-support/postal-service-workers.htm,Postal Service Workers,"$59,880     per year
                                        $28.79     per hour",No formal educational credential,None,Short-term on-the-job training,"488,500",-1% (Decline),"-6,400","32,200","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,bus-drivers,https://www.bls.gov/ooh/transportation-and-material-moving/bus-drivers.htm,Bus Drivers,"$49,390     per year
                                        $23.75     per hour",High school diploma or equivalent,None,See How to Become One,"563,200",2% (Slower than average),"9,800","77,600","$50,980",3%,"August 27, 2026"
business-and-financial,management-analysts,https://www.bls.gov/ooh/business-and-financial/management-analysts.htm,Management Analysts,"$101,860     per year
                                        $48.97     per hour",Bachelor's degree,Less than 5 years,None,"1,077,100",10% (Much faster than average),"109,200","94,100","$50,980",3%,"August 27, 2026"
math,data-scientists,https://www.bls.gov/ooh/math/data-scientists.htm,Data Scientists,"$120,230     per year
                                        $57.80     per hour",Bachelor's degree,None,None,"275,600",35% (Much faster than average),"95,400","24,800","$50,980",3%,"August 27, 2026"
healthcare,nursing-assistants,https://www.bls.gov/ooh/healthcare/nursing-assistants.htm,Nursing Assistants and Orderlies,"$41,870     per year
                                        $20.13     per hour",See How to Become One,None,See How to Become One,"1,558,700",3% (As fast as average),"41,100","203,300","$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,telecommunications-equipment-installers-and-repairers-except-line-installers,https://www.bls.gov/ooh/installation-maintenance-and-repair/telecommunications-equipment-installers-and-repairers-except-line-installers.htm,Telecommunications Technicians,"$66,200     per year
                                        $31.83     per hour",See How to Become One,None,See How to Become One,"257,800",-3% (Decline),"-8,100","20,300","$50,980",3%,"August 27, 2026"
architecture-and-engineering,cartographers-and-photogrammetrists,https://www.bls.gov/ooh/architecture-and-engineering/cartographers-and-photogrammetrists.htm,Cartographers and Photogrammetrists,"$81,390     per year
                                        $39.13     per hour",Bachelor's degree,None,None,"14,700",7% (Much faster than average),"1,100",900,"$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,calibration-technologists-and-technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/calibration-technologists-and-technicians.htm,Calibration Technologists and Technicians,"$67,820     per year
                                        $32.61     per hour",Associate's degree,None,None,"17,000",5% (Faster than average),800,"1,500","$50,980",3%,"August 27, 2026"
business-and-financial,fundraisers,https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,Fundraisers,"$72,550     per year
                                        $34.88     per hour",Bachelor's degree,None,None,"140,900",6% (Faster than average),"7,800","10,000","$50,980",3%,"August 27, 2026"
personal-care-and-service,recreation-workers,https://www.bls.gov/ooh/personal-care-and-service/recreation-workers.htm,Recreation Workers,"$36,560     per year
                                        $17.58     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"346,900",4% (As fast as average),"15,000","67,000","$50,980",3%,"August 27, 2026"
healthcare,health-information-technologists-and-medical-registrars,https://www.bls.gov/ooh/healthcare/health-information-technologists-and-medical-registrars.htm,Health Information Technologists and Medical Registrars,"$68,020     per year
                                        $32.70     per hour",Associate's degree,None,None,"42,000",16% (Much faster than average),"6,700","3,000","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,medical-scientists,https://www.bls.gov/ooh/life-physical-and-social-science/medical-scientists.htm,Medical Scientists,"$103,410     per year
                                        $49.72     per hour",Doctoral or professional degree,None,None,"181,000",13% (Much faster than average),"22,700","10,500","$50,980",3%,"August 27, 2026"
healthcare,diagnostic-medical-sonographers,https://www.bls.gov/ooh/healthcare/diagnostic-medical-sonographers.htm,Diagnostic Medical Sonographers,"$96,590     per year
                                        $46.44     per hour",Associate's degree,None,None,"92,200",14% (Much faster than average),"12,900","6,000","$50,980",3%,"August 27, 2026"
healthcare,cardiovascular-technologists-and-technicians,https://www.bls.gov/ooh/healthcare/cardiovascular-technologists-and-technicians.htm,Cardiovascular Technologists and Technicians,"$74,310     per year
                                        $35.73     per hour",Associate's degree,None,None,"64,500",4% (As fast as average),"2,400","3,400","$50,980",3%,"August 27, 2026"
healthcare,physical-therapists,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,Physical Therapists,"$102,760     per year
                                        $49.40     per hour",Doctoral or professional degree,None,None,"283,700",12% (Much faster than average),"33,800","13,400","$50,980",3%,"August 27, 2026"
construction-and-extraction,tile-and-marble-setters,https://www.bls.gov/ooh/construction-and-extraction/tile-and-marble-setters.htm,Flooring Installers and Tile and Stone Setters,"$54,390     per year
                                        $26.15     per hour",No formal educational credential,None,See How to Become One,"97,000",4% (As fast as average),"4,300","6,400","$50,980",3%,"August 27, 2026"
architecture-and-engineering,surveying-and-mapping-technicians,https://www.bls.gov/ooh/architecture-and-engineering/surveying-and-mapping-technicians.htm,Surveying and Mapping Technicians,"$54,240     per year
                                        $26.08     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"58,800",6% (Faster than average),"3,400","6,900","$50,980",3%,"August 27, 2026"
sales,cashiers,https://www.bls.gov/ooh/sales/cashiers.htm,Cashiers,"$32,880     per year
                                        $15.81     per hour",No formal educational credential,None,Short-term on-the-job training,"3,106,300",-6% (Decline),"-200,600","521,300",NA,3%,"August 27, 2026"
business-and-financial,purchasing-managers-buyers-and-purchasing-agents,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,"Purchasing Managers, Buyers, and Purchasing Agents","$81,670     per year
                                        $39.27     per hour",Bachelor's degree,See How to Become One,See How to Become One,"604,400",6% (Faster than average),"34,400","53,600","$50,980",3%,"August 27, 2026"
healthcare,registered-nurses,https://www.bls.gov/ooh/healthcare/registered-nurses.htm,Registered Nurses,"$97,550     per year
                                        $46.90     per hour",Bachelor's degree,None,None,"3,465,400",6% (Faster than average),"194,700","180,800","$50,980",3%,"August 27, 2026"
healthcare,dental-assistants,https://www.bls.gov/ooh/healthcare/dental-assistants.htm,Dental Assistants,"$48,070     per year
                                        $23.11     per hour",Postsecondary nondegree award,None,None,"388,600",7% (Much faster than average),"28,800","53,000","$50,980",3%,"August 27, 2026"
protective-service,correctional-officers,https://www.bls.gov/ooh/protective-service/correctional-officers.htm,Correctional Officers and Bailiffs,"$58,850     per year
                                        $28.30     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"415,800",-7% (Decline),"-29,900","30,000","$50,980",3%,"August 27, 2026"
community-and-social-service,health-educators,https://www.bls.gov/ooh/community-and-social-service/health-educators.htm,Health Education Specialists,"$64,070     per year
                                        $30.80     per hour",Bachelor's degree,None,None,"70,400",6% (Faster than average),"3,900","6,900","$50,980",3%,"August 27, 2026"
business-and-financial,personal-financial-advisors,https://www.bls.gov/ooh/business-and-financial/personal-financial-advisors.htm,Personal Financial Advisors,"$105,070     per year
                                        $50.51     per hour",Bachelor's degree,None,Long-term on-the-job training,"299,400",1% (Slower than average),"4,100","17,100","$50,980",3%,"August 27, 2026"
healthcare,genetic-counselors,https://www.bls.gov/ooh/healthcare/genetic-counselors.htm,Genetic Counselors,"$100,040     per year
                                        $48.09     per hour",Master's degree,None,None,"4,200",10% (Much faster than average),400,300,"$50,980",3%,"August 27, 2026"
healthcare,occupational-health-and-safety-specialists-and-technicians,https://www.bls.gov/ooh/healthcare/occupational-health-and-safety-specialists-and-technicians.htm,Occupational Health and Safety Specialists and Technicians,"$83,740     per year
                                        $40.26     per hour",See How to Become One,None,See How to Become One,"174,300",19% (Much faster than average),"32,500","20,900","$50,980",3%,"August 27, 2026"
arts-and-design,interior-designers,https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,Interior Designers,"$67,190     per year
                                        $32.31     per hour",Bachelor's degree,None,None,"97,100",3% (As fast as average),"2,600","7,700","$50,980",3%,"August 27, 2026"
protective-service,private-detectives-and-investigators,https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm,Private Detectives and Investigators,"$51,220     per year
                                        $24.62     per hour",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,"39,500",5% (Faster than average),"2,200","3,200","$50,980",3%,"August 27, 2026"
healthcare,medical-dosimetrists,https://www.bls.gov/ooh/healthcare/medical-dosimetrists.htm,Medical Dosimetrists,"$147,470     per year
                                        $70.90     per hour",Bachelor's degree,None,None,"3,500",5% (Faster than average),200,200,"$50,980",3%,"August 27, 2026"
healthcare,medical-transcriptionists,https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm,Medical Transcriptionists,"$40,410     per year
                                        $19.43     per hour",Postsecondary nondegree award,None,None,"42,000",-4% (Decline),"-1,900","6,200","$50,980",3%,"August 27, 2026"
business-and-financial,meeting-convention-and-event-planners,https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,"Meeting, Convention, and Event Planners","$61,160     per year
                                        $29.41     per hour",Bachelor's degree,None,None,"172,100",6% (Faster than average),"10,000","16,800","$50,980",3%,"August 27, 2026"
personal-care-and-service,funeral-service-occupations,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,Funeral Service Workers,"$61,410     per year
                                        $29.52     per hour",Associate's degree,See How to Become One,See How to Become One,"61,500",4% (As fast as average),"2,200","5,600","$50,980",3%,"August 27, 2026"
healthcare,nuclear-medicine-technologists,https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm,Nuclear Medicine Technologists,"$101,370     per year
                                        $48.74     per hour",Associate's degree,None,None,"17,400",4% (As fast as average),800,800,"$50,980",3%,"August 27, 2026"
healthcare,occupational-therapy-assistants-and-aides,https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,Occupational Therapy Assistants and Aides,"$70,800     per year
                                        $34.04     per hour",See How to Become One,None,See How to Become One,"56,600",20% (Much faster than average),"11,400","8,600","$50,980",3%,"August 27, 2026"
healthcare,opticians-dispensing,https://www.bls.gov/ooh/healthcare/opticians-dispensing.htm,Opticians,"$47,260     per year
                                        $22.72     per hour",High school diploma or equivalent,None,Long-term on-the-job training,"74,300",4% (As fast as average),"3,100","5,600","$50,980",3%,"August 27, 2026"
building-and-grounds-cleaning,grounds-maintenance-workers,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,Grounds Maintenance Workers,"$40,080     per year
                                        $19.27     per hour",See How to Become One,None,See How to Become One,"1,299,200",5% (Faster than average),"60,100","162,500",NA,3%,"August 27, 2026"
healthcare,pharmacy-technicians,https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm,Pharmacy Technicians,"$45,750     per year
                                        $22.00     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"471,200",6% (Faster than average),"30,100","44,700","$50,980",3%,"August 27, 2026"
healthcare,phlebotomists,https://www.bls.gov/ooh/healthcare/phlebotomists.htm,Phlebotomists,"$45,230     per year
                                        $21.75     per hour",Postsecondary nondegree award,None,None,"143,900",7% (Much faster than average),"9,800","18,000","$50,980",3%,"August 27, 2026"
healthcare,recreational-therapists,https://www.bls.gov/ooh/healthcare/recreational-therapists.htm,Recreational Therapists,"$61,960     per year
                                        $29.79     per hour",Bachelor's degree,None,None,"15,600",5% (Faster than average),800,"1,400","$50,980",3%,"August 27, 2026"
community-and-social-service,rehabilitation-counselors,https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,Rehabilitation Counselors,"$46,850     per year
                                        $22.52     per hour",Master's degree,None,None,"96,900",2% (Slower than average),"2,200","8,200","$50,980",3%,"August 27, 2026"
healthcare,respiratory-therapists,https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm,Respiratory Therapists,"$82,280     per year
                                        $39.56     per hour",Associate's degree,None,None,"142,000",9% (Much faster than average),"12,100","8,600","$50,980",3%,"August 27, 2026"
healthcare,surgical-technologists,https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,Surgical Assistants and Technologists,"$64,700     per year
                                        $31.10     per hour",Postsecondary nondegree award,None,None,"142,800",5% (Faster than average),"7,400","8,600","$50,980",3%,"August 27, 2026"
healthcare,veterinary-technologists-and-technicians,https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,Veterinary Technologists and Technicians,"$47,380     per year
                                        $22.78     per hour",Associate's degree,None,None,"131,400",9% (Much faster than average),"12,300","13,400","$50,980",3%,"August 27, 2026"
construction-and-extraction,electricians,https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,Electricians,"$63,190     per year
                                        $30.38     per hour",High school diploma or equivalent,None,Apprenticeship,"821,000",9% (Much faster than average),"75,900","72,700","$50,980",3%,"August 27, 2026"
management,medical-and-health-services-managers,https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm,Medical and Health Services Managers,"$123,860     per year
                                        $59.55     per hour",Bachelor's degree,Less than 5 years,None,"640,400",24% (Much faster than average),"155,100","62,300","$50,980",3%,"August 27, 2026"
community-and-social-service,marriage-and-family-therapists,https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm,Marriage and Family Therapists,"$66,940     per year
                                        $32.18     per hour",Master's degree,None,Internship/residency,"76,300",14% (Much faster than average),"10,300","6,900","$50,980",3%,"August 27, 2026"
management,preschool-and-childcare-center-directors,https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,Preschool and Childcare Center Directors,"$59,300     per year
                                        $28.51     per hour",Bachelor's degree,Less than 5 years,None,"91,900",-3% (Decline),"-2,900","5,200","$50,980",3%,"August 27, 2026"
management,social-and-community-service-managers,https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,Social and Community Service Managers,"$80,390     per year
                                        $38.65     per hour",Bachelor's degree,Less than 5 years,None,"231,000",7% (Much faster than average),"16,600","18,500","$50,980",3%,"August 27, 2026"
healthcare,podiatrists,https://www.bls.gov/ooh/healthcare/podiatrists.htm,Podiatrists,"$160,300     per year
                                        $77.07     per hour",Doctoral or professional degree,None,Internship/residency,"10,000",2% (Slower than average),200,200,"$50,980",3%,"August 27, 2026"
healthcare,chiropractors,https://www.bls.gov/ooh/healthcare/chiropractors.htm,Chiropractors,"$79,200     per year
                                        $38.08     per hour",Doctoral or professional degree,None,None,"61,700",9% (Much faster than average),"5,300","2,600","$50,980",3%,"August 27, 2026"
entertainment-and-sports,music-directors-and-composers,https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm,Music Directors and Composers,"$73,710     per year
                                        $35.44     per hour",Bachelor's degree,Less than 5 years,None,"51,100",1% (Slower than average),600,"4,200","$50,980",3%,"August 27, 2026"
community-and-social-service,community-health-workers,https://www.bls.gov/ooh/community-and-social-service/community-health-workers.htm,Community Health Workers,"$51,850     per year
                                        $24.93     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"64,700",13% (Much faster than average),"8,200","7,000","$50,980",3%,"August 27, 2026"
business-and-financial,tax-examiners-and-collectors-and-revenue-agents,https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm,"Tax Examiners and Collectors, and Revenue Agents","$62,370     per year
                                        $29.98     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"60,100",-1% (Decline),-600,"4,400","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,urban-and-regional-planners,https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,Urban and Regional Planners,"$89,320     per year
                                        $42.94     per hour",Master's degree,None,None,"45,800",4% (As fast as average),"1,800","3,200","$50,980",3%,"August 27, 2026"
architecture-and-engineering,surveyors,https://www.bls.gov/ooh/architecture-and-engineering/surveyors.htm,Surveyors,"$75,440     per year
                                        $36.27     per hour",Bachelor's degree,None,Internship/residency,"52,000",6% (Faster than average),"3,000","3,100","$50,980",3%,"August 27, 2026"
architecture-and-engineering,civil-engineering-technicians,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm,Civil Engineering Technologists and Technicians,"$64,950     per year
                                        $31.23     per hour",Associate's degree,None,None,"70,900",3% (As fast as average),"2,300","6,100","$50,980",3%,"August 27, 2026"
production,semiconductor-processing-technicians,https://www.bls.gov/ooh/production/semiconductor-processing-technicians.htm,Semiconductor Processing Technicians,"$51,430     per year
                                        $24.73     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"31,200",8% (Much faster than average),"2,600","3,400","$50,980",3%,"August 27, 2026"
healthcare,dietitians-and-nutritionists,https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm,Dietitians and Nutritionists,"$76,400     per year
                                        $36.73     per hour",Bachelor's degree,None,Internship/residency,"86,300",8% (Much faster than average),"6,700","5,700","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,epidemiologists,https://www.bls.gov/ooh/life-physical-and-social-science/epidemiologists.htm,Epidemiologists,"$87,220     per year
                                        $41.93     per hour",Master's degree,None,None,"12,800",19% (Much faster than average),"2,400",800,"$50,980",3%,"August 27, 2026"
healthcare,physical-therapist-assistants-and-aides,https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,Physical Therapist Assistants and Aides,"$61,200     per year
                                        $29.42     per hour",See How to Become One,None,See How to Become One,"163,200",17% (Much faster than average),"28,200","24,900","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,railroad-occupations,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,Railroad Workers,"$78,820     per year
                                        $37.90     per hour",High school diploma or equivalent,See How to Become One,Moderate-term on-the-job training,"80,500",1% (Slower than average),600,"6,100","$50,980",3%,"August 27, 2026"
food-preparation-and-serving,waiters-and-waitresses,https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm,Waiters and Waitresses,"$35,230     per year
                                        $16.94     per hour",No formal educational credential,None,Short-term on-the-job training,"2,284,400",2% (Slower than average),"46,500","423,100",NA,3%,"August 27, 2026"
farming-fishing-and-forestry,logging-workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm,Logging Workers,"$49,660     per year
                                        $23.88     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"40,400",-5% (Decline),"-1,800","5,000","$50,980",3%,"August 27, 2026"
sales,securities-commodities-and-financial-services-sales-agents,https://www.bls.gov/ooh/sales/securities-commodities-and-financial-services-sales-agents.htm,"Securities, Commodities, and Financial Services Sales Agents","$78,660     per year
                                        $37.82     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"531,000",1% (Slower than average),"7,500","35,100","$50,980",3%,"August 27, 2026"
management,public-relations-managers,https://www.bls.gov/ooh/management/public-relations-managers.htm,Public Relations and Fundraising Managers,"$136,470     per year
                                        $65.61     per hour",Bachelor's degree,5 years or more,None,"129,600",6% (Faster than average),"7,200","9,800","$50,980",3%,"August 27, 2026"
management,compensation-and-benefits-managers,https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,Compensation and Benefits Managers,"$149,230     per year
                                        $71.75     per hour",Bachelor's degree,5 years or more,None,"23,700",1% (Slower than average),300,"1,600","$50,980",3%,"August 27, 2026"
office-and-administrative-support,customer-service-representatives,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,Customer Service Representatives,"$44,770     per year
                                        $21.53     per hour",High school diploma or equivalent,None,Short-term on-the-job training,"2,666,000",-5% (Decline),"-141,800","289,500",NA,3%,"August 27, 2026"
construction-and-extraction,roofers,https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,Roofers,"$55,440     per year
                                        $26.65     per hour",No formal educational credential,None,Moderate-term on-the-job training,"166,900",5% (Faster than average),"8,800","12,000","$50,980",3%,"August 27, 2026"
computer-and-information-technology,computer-and-information-research-scientists,https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,Computer and Information Research Scientists,"$140,300     per year
                                        $67.45     per hour",Master's degree,None,None,"38,600",22% (Much faster than average),"8,400","2,900","$50,980",3%,"August 27, 2026"
healthcare,radiologic-technologists,https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,Radiologic and MRI Technologists,"$81,390     per year
                                        $39.13     per hour",Associate's degree,See How to Become One,None,"278,100",5% (Faster than average),"15,100","15,300","$50,980",3%,"August 27, 2026"
computer-and-information-technology,computer-support-specialists,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,Computer Support Specialists,"$62,890     per year
                                        $30.24     per hour",See How to Become One,None,Moderate-term on-the-job training,"903,100",-3% (Decline),"-24,300","48,700","$50,980",3%,"August 27, 2026"
architecture-and-engineering,computer-hardware-engineers,https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm,Computer Hardware Engineers,"$161,740     per year
                                        $77.76     per hour",Bachelor's degree,None,None,"76,100",9% (Much faster than average),"6,900","4,100","$50,980",3%,"August 27, 2026"
computer-and-information-technology,computer-network-architects,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,Computer Network Architects,"$134,050     per year
                                        $64.45     per hour",Bachelor's degree,5 years or more,None,"181,800",8% (Much faster than average),"14,100","9,600","$50,980",3%,"August 27, 2026"
computer-and-information-technology,information-security-analysts,https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm,Information Security Analysts,"$129,180     per year
                                        $62.11     per hour",Bachelor's degree,Less than 5 years,None,"192,900",21% (Much faster than average),"40,600","14,100","$50,980",3%,"August 27, 2026"
business-and-financial,training-and-development-specialists,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,Training and Development Specialists,"$69,280     per year
                                        $33.31     per hour",Bachelor's degree,Less than 5 years,None,"472,500",11% (Much faster than average),"51,100","46,000","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,conservation-scientists,https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,Conservation Scientists and Foresters,"$73,920     per year
                                        $35.54     per hour",Bachelor's degree,None,None,"40,900",4% (As fast as average),"1,700","3,000","$50,980",3%,"August 27, 2026"
management,construction-managers,https://www.bls.gov/ooh/management/construction-managers.htm,Construction Managers,"$114,990     per year
                                        $55.28     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"609,100",9% (Much faster than average),"55,200","49,700","$50,980",3%,"August 27, 2026"
business-and-financial,cost-estimators,https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm,Cost Estimators,"$78,740     per year
                                        $37.86     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"226,400",-3% (Decline),"-6,900","17,600","$50,980",3%,"August 27, 2026"
management,postsecondary-education-administrators,https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,Postsecondary Education Administrators,"$104,590     per year
                                        $50.29     per hour",Master's degree,Less than 5 years,None,"231,800",2% (Slower than average),"4,100","14,500","$50,980",3%,"August 27, 2026"
business-and-financial,financial-analysts,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,Financial Analysts,"$103,570     per year
                                        $49.79     per hour",Bachelor's degree,None,None,"443,100",7% (Much faster than average),"32,000","29,500","$50,980",3%,"August 27, 2026"
business-and-financial,human-resources-specialists,https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,Human Resources Specialists,"$75,940     per year
                                        $36.51     per hour",Bachelor's degree,None,None,"939,700",6% (Faster than average),"60,100","73,700","$50,980",3%,"August 27, 2026"
community-and-social-service,probation-officers-and-correctional-treatment-specialists,https://www.bls.gov/ooh/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm,Probation Officers and Correctional Treatment Specialists,"$66,270     per year
                                        $31.86     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"93,700",3% (As fast as average),"2,800","7,900","$50,980",3%,"August 27, 2026"
arts-and-design,floral-designers,https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,Floral Designers,"$37,360     per year
                                        $17.96     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"45,200",-6% (Decline),"-2,500","5,200","$50,980",3%,"August 27, 2026"
legal,court-reporters,https://www.bls.gov/ooh/legal/court-reporters.htm,Court Reporters and Simultaneous Captioners,"$72,420     per year
                                        $34.82     per hour",Postsecondary nondegree award,None,Short-term on-the-job training,"19,900",0% (Little or no change),0,"1,800","$50,980",3%,"August 27, 2026"
business-and-financial,credit-counselors,https://www.bls.gov/ooh/business-and-financial/credit-counselors.htm,Credit Counselors,"$52,230     per year
                                        $25.11     per hour",Bachelor's degree,None,Moderate-term on-the-job training,"31,200",3% (As fast as average),"1,000","2,000","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,sociologists,https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm,Sociologists,"$106,030     per year
                                        $50.98     per hour",Master's degree,None,None,"2,700",4% (As fast as average),100,200,"$50,980",3%,"August 27, 2026"
life-physical-and-social-science,geological-and-petroleum-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm,Geological and Hydrologic Technicians,"$57,150     per year
                                        $27.48     per hour",Associate's degree,None,Moderate-term on-the-job training,"10,300",2% (Slower than average),200,"1,400","$50,980",3%,"August 27, 2026"
personal-care-and-service,tour-and-travel-guides,https://www.bls.gov/ooh/personal-care-and-service/tour-and-travel-guides.htm,Tour and Travel Guides,"$38,120     per year
                                        $18.33     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"62,200",6% (Faster than average),"3,900","11,900","$50,980",3%,"August 27, 2026"
life-physical-and-social-science,geoscientists,https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm,Geoscientists,"$101,920     per year
                                        $49.00     per hour",Bachelor's degree,None,None,"25,400",5% (Faster than average),"1,300","1,800","$50,980",3%,"August 27, 2026"
media-and-communication,film-and-video-editors-and-camera-operators,https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,Film and Video Editors and Camera Operators,"$75,100     per year
                                        $36.10     per hour",Bachelor's degree,None,None,"72,000",3% (As fast as average),"1,900","5,600","$50,980",3%,"August 27, 2026"
education-training-and-library,instructional-coordinators,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,Instructional Coordinators,"$77,440     per year
                                        $37.23     per hour",Master's degree,5 years or more,None,"248,700",2% (Slower than average),"4,100","23,100","$50,980",3%,"August 27, 2026"
healthcare,massage-therapists,https://www.bls.gov/ooh/healthcare/massage-therapists.htm,Massage Therapists,"$58,450     per year
                                        $28.10     per hour",Postsecondary nondegree award,None,None,"155,400",15% (Much faster than average),"23,700","20,400","$50,980",3%,"August 27, 2026"
food-preparation-and-serving,food-preparation-workers,https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,Food Preparation Workers,"$35,320     per year
                                        $16.98     per hour",No formal educational credential,None,Short-term on-the-job training,"908,500",-3% (Decline),"-27,200","135,700",NA,3%,"August 27, 2026"
healthcare,dental-hygienists,https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,Dental Hygienists,"$98,100     per year
                                        $47.16     per hour",Associate's degree,None,None,"225,300",8% (Much faster than average),"17,900","15,000","$50,980",3%,"August 27, 2026"
healthcare,dentists,https://www.bls.gov/ooh/healthcare/dentists.htm,Dentists,"$176,110     per year
                                        $84.67     per hour",Doctoral or professional degree,None,See How to Become One,"161,400",6% (Faster than average),"9,000","4,800","$50,980",3%,"August 27, 2026"
