occupation_link_text,url,group,slug
Certified Kitchen Designer,https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,arts-and-design,interior-designers
Certified Legal Investigator,https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm,protective-service,private-detectives-and-investigators
Certified Medical Dosimetrist,https://www.bls.gov/ooh/healthcare/medical-dosimetrists.htm,healthcare,medical-dosimetrists
Certified Medical Transcriptionist,https://www.bls.gov/ooh/healthcare/medical-transcriptionists.htm,healthcare,medical-transcriptionists
Certified Meeting Professional,https://www.bls.gov/ooh/business-and-financial/meeting-convention-and-event-planners.htm,business-and-financial,meeting-convention-and-event-planners
Certified Mortician,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,personal-care-and-service,funeral-service-occupations
Certified Nuclear Medicine Technologist,https://www.bls.gov/ooh/healthcare/nuclear-medicine-technologists.htm,healthcare,nuclear-medicine-technologists
Certified Occupational Rehabilitation Aide,https://www.bls.gov/ooh/healthcare/occupational-therapy-assistants-and-aides.htm,healthcare,occupational-therapy-assistants-and-aides
Certified Optician,https://www.bls.gov/ooh/healthcare/opticians-dispensing.htm,healthcare,opticians-dispensing
Certified Pesticide Applicator,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,building-and-grounds-cleaning,grounds-maintenance-workers
Certified Pharmacy Technician,https://www.bls.gov/ooh/healthcare/pharmacy-technicians.htm,healthcare,pharmacy-technicians
Certified Phlebotomy Technician,https://www.bls.gov/ooh/healthcare/phlebotomists.htm,healthcare,phlebotomists
Certified Recreational Therapist,https://www.bls.gov/ooh/healthcare/recreational-therapists.htm,healthcare,recreational-therapists
Certified Rehabilitation Counselor,https://www.bls.gov/ooh/community-and-social-service/rehabilitation-counselors.htm,community-and-social-service,rehabilitation-counselors
Certified Respiratory Therapist,https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm,healthcare,respiratory-therapists
Certified Surgical Technologist,https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,healthcare,surgical-technologists
Certified Veterinary Technician,https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,healthcare,veterinary-technologists-and-technicians
Chief Electrician,https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,construction-and-extraction,electricians
Chief Medical Information Officer,https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm,management,medical-and-health-services-managers
Child and Family Counselor,https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm,community-and-social-service,marriage-and-family-therapists
Childcare Center Administrator,https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,management,preschool-and-childcare-center-directors
Child Welfare Director,https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,management,social-and-community-service-managers
Chiropodist,https://www.bls.gov/ooh/healthcare/podiatrists.htm,healthcare,podiatrists
Chiropractic Doctor,https://www.bls.gov/ooh/healthcare/chiropractors.htm,healthcare,chiropractors
Choir Director,https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm,entertainment-and-sports,music-directors-and-composers
CHW,https://www.bls.gov/ooh/community-and-social-service/community-health-workers.htm,community-and-social-service,community-health-workers
City Collector,https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm,business-and-financial,tax-examiners-and-collectors-and-revenue-agents
City Planner,https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,life-physical-and-social-science,urban-and-regional-planners
City Surveyor,https://www.bls.gov/ooh/architecture-and-engineering/surveyors.htm,architecture-and-engineering,surveyors
Civil Engineering Technician,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineering-technicians.htm,architecture-and-engineering,civil-engineering-technicians
Clean Room Technician,https://www.bls.gov/ooh/production/semiconductor-processing-technicians.htm,production,semiconductor-processing-technicians
Clinical Dietitian,https://www.bls.gov/ooh/healthcare/dietitians-and-nutritionists.htm,healthcare,dietitians-and-nutritionists
Clinical Epidemiologist,https://www.bls.gov/ooh/life-physical-and-social-science/epidemiologists.htm,life-physical-and-social-science,epidemiologists
Clinical Rehabilitation Aide,https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,healthcare,physical-therapist-assistants-and-aides
Coal Tram Driver,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,transportation-and-material-moving,railroad-occupations
Cocktail Server,https://www.bls.gov/ooh/food-preparation-and-serving/waiters-and-waitresses.htm,food-preparation-and-serving,waiters-and-waitresses
Combination Slasher-Loader Operator,https://www.bls.gov/ooh/farming-fishing-and-forestry/logging-workers.htm,farming-fishing-and-forestry,logging-workers
Commodities Broker,https://www.bls.gov/ooh/sales/securities-commodities-and-financial-services-sales-agents.htm,sales,securities-commodities-and-financial-services-sales-agents
Communication Manager,https://www.bls.gov/ooh/management/public-relations-managers.htm,management,public-relations-managers
Compensation and benefits managers,https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,management,compensation-and-benefits-managers
Complaint Clerk,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,office-and-administrative-support,customer-service-representatives
Composition Roofer,https://www.bls.gov/ooh/construction-and-extraction/roofers.htm,construction-and-extraction,roofers
Computational Theory Scientist,https://www.bls.gov/ooh/computer-and-information-technology/computer-and-information-research-scientists.htm,computer-and-information-technology,computer-and-information-research-scientists
Computed Axial Tomography Technologist,https://www.bls.gov/ooh/healthcare/radiologic-technologists.htm,healthcare,radiologic-technologists
Computer Customer Support Specialist,https://www.bls.gov/ooh/computer-and-information-technology/computer-support-specialists.htm,computer-and-information-technology,computer-support-specialists
Computer Hardware Designer,https://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm,architecture-and-engineering,computer-hardware-engineers
Computer network architects,https://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm,computer-and-information-technology,computer-network-architects
Computer Security Specialist,https://www.bls.gov/ooh/computer-and-information-technology/information-security-analysts.htm,computer-and-information-technology,information-security-analysts
Computer Software Training Specialist,https://www.bls.gov/ooh/business-and-financial/training-and-development-specialists.htm,business-and-financial,training-and-development-specialists
Conservation Science Officer,https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,life-physical-and-social-science,conservation-scientists
Construction Coordinator,https://www.bls.gov/ooh/management/construction-managers.htm,management,construction-managers
Construction Estimator,https://www.bls.gov/ooh/business-and-financial/cost-estimators.htm,business-and-financial,cost-estimators
Continuing Education Director,https://www.bls.gov/ooh/management/postsecondary-education-administrators.htm,management,postsecondary-education-administrators
Corporate Financial Analyst,https://www.bls.gov/ooh/business-and-financial/financial-analysts.htm,business-and-financial,financial-analysts
Corporate Recruiter,https://www.bls.gov/ooh/business-and-financial/human-resources-specialists.htm,business-and-financial,human-resources-specialists
Correctional Treatment Specialist,https://www.bls.gov/ooh/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm,community-and-social-service,probation-officers-and-correctional-treatment-specialists
Corsage Maker,https://www.bls.gov/ooh/arts-and-design/floral-designers.htm,arts-and-design,floral-designers
Court Recording Monitor,https://www.bls.gov/ooh/legal/court-reporters.htm,legal,court-reporters
Credit Counselor,https://www.bls.gov/ooh/business-and-financial/credit-counselors.htm,business-and-financial,credit-counselors
Criminologist,https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm,life-physical-and-social-science,sociologists
Crude Tester,https://www.bls.gov/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm,life-physical-and-social-science,geological-and-petroleum-technicians
Cruise Director,https://www.bls.gov/ooh/personal-care-and-service/tour-and-travel-guides.htm,personal-care-and-service,tour-and-travel-guides
Crystallographer,https://www.bls.gov/ooh/life-physical-and-social-science/geoscientists.htm,life-physical-and-social-science,geoscientists
Cue Selector,https://www.bls.gov/ooh/media-and-communication/film-and-video-editors-and-camera-operators.htm,media-and-communication,film-and-video-editors-and-camera-operators
Curriculum and Assessment Director,https://www.bls.gov/ooh/education-training-and-library/instructional-coordinators.htm,education-training-and-library,instructional-coordinators
Deep Tissue Massage Therapist,https://www.bls.gov/ooh/healthcare/massage-therapists.htm,healthcare,massage-therapists
Deli Clerk,https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,food-preparation-and-serving,food-preparation-workers
Dental hygienists,https://www.bls.gov/ooh/healthcare/dental-hygienists.htm,healthcare,dental-hygienists
Dental Surgeon,https://www.bls.gov/ooh/healthcare/dentists.htm,healthcare,dentists
Derrick Operator,https://www.bls.gov/ooh/construction-and-extraction/oil-and-gas-workers.htm,construction-and-extraction,oil-and-gas-workers
Design Project Management Specialists,https://www.bls.gov/ooh/business-and-financial/project-management-specialists.htm,business-and-financial,project-management-specialists
Desktop publishers,https://www.bls.gov/ooh/office-and-administrative-support/desktop-publishers.htm,office-and-administrative-support,desktop-publishers
Developmental Psychologist,https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm,life-physical-and-social-science,psychologists
Diamond Grader,https://www.bls.gov/ooh/production/jewelers-and-precious-stone-and-metal-workers.htm,production,jewelers-and-precious-stone-and-metal-workers
Digital Designer,https://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm,computer-and-information-technology,web-developers
Director of Civil Defense,https://www.bls.gov/ooh/management/emergency-management-directors.htm,management,emergency-management-directors
District Sales Manager,https://www.bls.gov/ooh/management/sales-managers.htm,management,sales-managers
Doctor of Optometry,https://www.bls.gov/ooh/healthcare/optometrists.htm,healthcare,optometrists
E-Learning Manager,https://www.bls.gov/ooh/management/training-and-development-managers.htm,management,training-and-development-managers
Early Childhood Special Education Teacher,https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,education-training-and-library,special-education-teachers
Early Childhood Teacher,https://www.bls.gov/ooh/education-training-and-library/preschool-teachers.htm,education-training-and-library,preschool-teachers
Ecological Modeler,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-scientists-and-specialists.htm,life-physical-and-social-science,environmental-scientists-and-specialists
Efficiency Engineer,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineers.htm,architecture-and-engineering,industrial-engineers
Electo-Mechanical and Mechatronics Technologist,https://www.bls.gov/ooh/architecture-and-engineering/electro-mechanical-technicians.htm,architecture-and-engineering,electro-mechanical-technicians
Electrical and Electronic Engineering Technologist,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineering-technicians.htm,architecture-and-engineering,electrical-and-electronics-engineering-technicians
Electrical High Tension Tester,https://www.bls.gov/ooh/installation-maintenance-and-repair/line-installers-and-repairers.htm,installation-maintenance-and-repair,line-installers-and-repairers
Electrolysis Needle Operator,https://www.bls.gov/ooh/personal-care-and-service/skincare-specialists.htm,personal-care-and-service,skincare-specialists
"Elementary, middle, and high school principals",https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm,management,elementary-middle-and-high-school-principals
Elevator Adjuster,https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,construction-and-extraction,elevator-installers-and-repairers
Employee Relations Manager,https://www.bls.gov/ooh/management/human-resources-managers.htm,management,human-resources-managers
Employee Relations Specialist,https://www.bls.gov/ooh/business-and-financial/labor-relations-specialists.htm,business-and-financial,labor-relations-specialists
Environmental Communications Specialist,https://www.bls.gov/ooh/media-and-communication/public-relations-specialists.htm,media-and-communication,public-relations-specialists
Estate Appraiser,https://www.bls.gov/ooh/business-and-financial/appraisers-and-assessors-of-real-estate.htm,business-and-financial,appraisers-and-assessors-of-real-estate
Exterminator,https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm,building-and-grounds-cleaning,pest-control-workers
Fingernail Sculptor,https://www.bls.gov/ooh/personal-care-and-service/manicurists-and-pedicurists.htm,personal-care-and-service,manicurists-and-pedicurists
Fire Engine Pump Operator,https://www.bls.gov/ooh/protective-service/firefighters.htm,protective-service,firefighters
Fire Prevention Engineer,https://www.bls.gov/ooh/architecture-and-engineering/health-and-safety-engineers.htm,architecture-and-engineering,health-and-safety-engineers
Fire Sprinkler Installer,https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,construction-and-extraction,plumbers-pipefitters-and-steamfitters
Forest and conservation workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,farming-fishing-and-forestry,forest-and-conservation-workers
Genealogist,https://www.bls.gov/ooh/life-physical-and-social-science/historians.htm,life-physical-and-social-science,historians
Geophysical Engineer,https://www.bls.gov/ooh/architecture-and-engineering/mining-and-geological-engineers.htm,architecture-and-engineering,mining-and-geological-engineers
Glaziers,https://www.bls.gov/ooh/construction-and-extraction/glaziers.htm,construction-and-extraction,glaziers
Golf Course Architect,https://www.bls.gov/ooh/architecture-and-engineering/landscape-architects.htm,architecture-and-engineering,landscape-architects
Government Affairs Researcher,https://www.bls.gov/ooh/life-physical-and-social-science/political-scientists.htm,life-physical-and-social-science,political-scientists
Graphic Artist,https://www.bls.gov/ooh/arts-and-design/graphic-designers.htm,arts-and-design,graphic-designers
Gyroscopic Engineering Technician,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineering-technicians.htm,architecture-and-engineering,mechanical-engineering-technicians
Health Information Coder,https://www.bls.gov/ooh/healthcare/medical-records-and-health-information-technicians.htm,healthcare,medical-records-and-health-information-technicians
Health Insurance Sales Agent,https://www.bls.gov/ooh/sales/insurance-sales-agents.htm,sales,insurance-sales-agents
High School Algebra Teacher,https://www.bls.gov/ooh/education-training-and-library/high-school-teachers.htm,education-training-and-library,high-school-teachers
Hydroelectric Plant Operator,https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm,production,power-plant-operators-distributors-and-dispatchers
Hydrogeologist,https://www.bls.gov/ooh/life-physical-and-social-science/hydrologists.htm,life-physical-and-social-science,hydrologists
Industrial Engineering Technician,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineering-technicians.htm,architecture-and-engineering,industrial-engineering-technicians
Industrial Production Manager,https://www.bls.gov/ooh/management/industrial-production-managers.htm,management,industrial-production-managers
Industrial Waste Treatment Technician,https://www.bls.gov/ooh/production/water-and-wastewater-treatment-plant-and-system-operators.htm,production,water-and-wastewater-treatment-plant-and-system-operators
Intermediate School Social Studies Teacher,https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm,education-training-and-library,middle-school-teachers
Laboratory Animal Caretaker,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,healthcare,veterinary-assistants-and-laboratory-animal-caretakers
LAN Administrator,https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm,computer-and-information-technology,network-and-computer-systems-administrators
Language Pathologist,https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,healthcare,speech-language-pathologists
Licensed practical and licensed vocational nurses,https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,healthcare,licensed-practical-and-licensed-vocational-nurses
Logistician,https://www.bls.gov/ooh/business-and-financial/logisticians.htm,business-and-financial,logisticians
Marine Architect,https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm,architecture-and-engineering,marine-engineers-and-naval-architects
Military careers,https://www.bls.gov/ooh/military/military-careers.htm,military,military-careers
Natural Gas Engineer,https://www.bls.gov/ooh/architecture-and-engineering/petroleum-engineers.htm,architecture-and-engineering,petroleum-engineers
Nuclear Monitoring Technician,https://www.bls.gov/ooh/life-physical-and-social-science/nuclear-technicians.htm,life-physical-and-social-science,nuclear-technicians
Occupational Therapist,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,healthcare,occupational-therapists
Operations Analyst,https://www.bls.gov/ooh/math/operations-research-analysts.htm,math,operations-research-analysts
Photovoltaic (PV) Installation Technician,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,construction-and-extraction,solar-photovoltaic-installers
Pollster,https://www.bls.gov/ooh/life-physical-and-social-science/survey-researchers.htm,life-physical-and-social-science,survey-researchers
Radiation therapists,https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,healthcare,radiation-therapists
Scenic Designer,https://www.bls.gov/ooh/arts-and-design/set-and-exhibit-designers.htm,arts-and-design,set-and-exhibit-designers
Wind Energy Mechanic,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,installation-maintenance-and-repair,wind-turbine-technicians
