occupation_link_text,url,group,slug
Aerospace Engineering and Operations Technologist,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,architecture-and-engineering,aerospace-engineering-and-operations-technicians
Aerospace Products Sales Engineer,https://www.bls.gov/ooh/sales/sales-engineers.htm,sales,sales-engineers
Agency Legal Counsel,https://www.bls.gov/ooh/legal/lawyers.htm,legal,lawyers
Agricultural and food science technicians,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,life-physical-and-social-science,agricultural-and-food-science-technicians
Agricultural and food scientists,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,life-physical-and-social-science,agricultural-and-food-scientists
Agricultural Chemist,https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,life-physical-and-social-science,chemists-and-materials-scientists
Agricultural Crop Farm Manager,https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,management,farmers-ranchers-and-other-agricultural-managers
Agricultural Economist,https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm,life-physical-and-social-science,economists
Agricultural Engineer,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,architecture-and-engineering,agricultural-engineers
Agricultural Equipment Mechanic,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,installation-maintenance-and-repair,heavy-vehicle-and-mobile-equipment-service-technicians
Agricultural Real Estate Agent,https://www.bls.gov/ooh/sales/real-estate-brokers-and-sales-agents.htm,sales,real-estate-brokers-and-sales-agents
Agricultural Research Director,https://www.bls.gov/ooh/management/natural-sciences-managers.htm,management,natural-sciences-managers
Agricultural workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/agricultural-workers.htm,farming-fishing-and-forestry,agricultural-workers
Air Analysis Engineering Technician,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineering-technicians.htm,architecture-and-engineering,environmental-engineering-technicians
Air Bag Builder,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,production,assemblers-and-fabricators
Air Conditioning Service Technician,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,installation-maintenance-and-repair,heating-air-conditioning-and-refrigeration-mechanics-and-installers
Air Conditioning Sheet Metal Installer,https://www.bls.gov/ooh/construction-and-extraction/sheet-metal-workers.htm,construction-and-extraction,sheet-metal-workers
Aircraft Cleaner,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,transportation-and-material-moving,hand-laborers-and-material-movers
Aircraft Painter,https://www.bls.gov/ooh/production/painting-and-coating-workers.htm,production,painting-and-coating-workers
Airline Flight Attendant,https://www.bls.gov/ooh/transportation-and-material-moving/flight-attendants.htm,transportation-and-material-moving,flight-attendants
Air Pollution Compliance Inspector,https://www.bls.gov/ooh/business-and-financial/compliance-officers.htm,business-and-financial,compliance-officers
Air Pollution Control Engineer,https://www.bls.gov/ooh/architecture-and-engineering/environmental-engineers.htm,architecture-and-engineering,environmental-engineers
Airport Apron Bus Driver,https://www.bls.gov/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm,transportation-and-material-moving,taxi-drivers-and-chauffeurs
Airport Manager,https://www.bls.gov/ooh/management/transportation-storage-and-distribution-managers.htm,management,transportation-storage-and-distribution-managers
Airport Tower Controller,https://www.bls.gov/ooh/transportation-and-material-moving/air-traffic-controllers.htm,transportation-and-material-moving,air-traffic-controllers
Air Quality Technician,https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm,life-physical-and-social-science,environmental-science-and-protection-technicians
Airset Caster,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,production,metal-and-plastic-machine-workers
Algebraist,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,math,mathematicians-and-statisticians
Algebra Tutor,https://www.bls.gov/ooh/education-training-and-library/tutors.htm,education-training-and-library,tutors
Alligator Hunter,https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm,farming-fishing-and-forestry,fishers-and-related-fishing-workers
All Terrain Vehicle Technician,https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm,installation-maintenance-and-repair,small-engine-mechanics
Almond Paste Mixer,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,production,food-and-tobacco-processing-workers
Alternative Dispute Resolution Coordinator,https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm,legal,arbitrators-mediators-and-conciliators
Aluminum Welder,https://www.bls.gov/ooh/production/welders-cutters-solderers-and-brazers.htm,production,welders-cutters-solderers-and-brazers
Ambulance Driver-Paramedic,https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,healthcare,emts-and-paramedics
American Board Certified Orthotist,https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm,healthcare,orthotists-and-prosthetists
American Sign Language Interpreter,https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm,media-and-communication,interpreters-and-translators
Ampoule Examiner,https://www.bls.gov/ooh/production/quality-control-inspectors.htm,production,quality-control-inspectors
Amusement Park Manager,https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm,management,entertainment-and-recreation-managers
Anesthesiologist Assistant,https://www.bls.gov/ooh/healthcare/physician-assistants.htm,healthcare,physician-assistants
Angle Dozer Operator,https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,construction-and-extraction,construction-equipment-operators
Animal care and service workers,https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,personal-care-and-service,animal-care-and-service-workers
Animal Pathologist,https://www.bls.gov/ooh/healthcare/veterinarians.htm,healthcare,veterinarians
Announcers and DJs,https://www.bls.gov/ooh/media-and-communication/announcers.htm,media-and-communication,announcers
Antenna Engineer,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,architecture-and-engineering,electrical-and-electronics-engineers
Anthropologist,https://www.bls.gov/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm,life-physical-and-social-science,anthropologists-and-archeologists
Apartment Manager,https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm,management,property-real-estate-and-community-association-managers
Apothecary,https://www.bls.gov/ooh/healthcare/pharmacists.htm,healthcare,pharmacists
Apparel Designer,https://www.bls.gov/ooh/arts-and-design/fashion-designers.htm,arts-and-design,fashion-designers
Appliance Parts Counter Clerk,https://www.bls.gov/ooh/sales/retail-sales-workers.htm,sales,retail-sales-workers
Application Development Director,https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm,management,computer-and-information-systems-managers
Application Integration Engineer,https://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm,computer-and-information-technology,software-developers
Applications Analyst,https://www.bls.gov/ooh/computer-and-information-technology/computer-systems-analysts.htm,computer-and-information-technology,computer-systems-analysts
Applications Programmer,https://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm,computer-and-information-technology,computer-programmers
Applied Exercise Physiologist,https://www.bls.gov/ooh/healthcare/exercise-physiologists.htm,healthcare,exercise-physiologists
Appointment Clerk,https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,office-and-administrative-support,receptionists
Aquatic Biologist,https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm,life-physical-and-social-science,zoologists-and-wildlife-biologists
Arch-Support Maker,https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,production,dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians
Architects,https://www.bls.gov/ooh/architecture-and-engineering/architects.htm,architecture-and-engineering,architects
Architectural and engineering managers,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,management,architectural-and-engineering-managers
Architectural Drafting Instructor,https://www.bls.gov/ooh/education-training-and-library/career-and-technical-education-teachers.htm,education-training-and-library,career-and-technical-education-teachers
Architectural Engineer,https://www.bls.gov/ooh/architecture-and-engineering/civil-engineers.htm,architecture-and-engineering,civil-engineers
Architectural Inspector,https://www.bls.gov/ooh/construction-and-extraction/construction-and-building-inspectors.htm,construction-and-extraction,construction-and-building-inspectors
"Archivists, curators, and museum workers",https://www.bls.gov/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,education-training-and-library,curators-museum-technicians-and-conservators
Armed Guard,https://www.bls.gov/ooh/protective-service/security-guards.htm,protective-service,security-guards
Arson Investigator,https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,protective-service,fire-inspectors-and-investigators
Art directors,https://www.bls.gov/ooh/arts-and-design/art-directors.htm,arts-and-design,art-directors
Artist's Model,https://www.bls.gov/ooh/sales/models.htm,sales,models
Asbestos Abatement Worker,https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,construction-and-extraction,hazardous-materials-removal-workers
Ash Conveyor Operator,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,transportation-and-material-moving,material-moving-machine-operators
Assayer,https://www.bls.gov/ooh/life-physical-and-social-science/chemical-technicians.htm,life-physical-and-social-science,chemical-technicians
Assembly Instructions Writer,https://www.bls.gov/ooh/media-and-communication/technical-writers.htm,media-and-communication,technical-writers
Assistant Paralegal,https://www.bls.gov/ooh/legal/paralegals-and-legal-assistants.htm,legal,paralegals-and-legal-assistants
Astrophysicist,https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,life-physical-and-social-science,physicists-and-astronomers
Athletes and sports competitors,https://www.bls.gov/ooh/entertainment-and-sports/athletes-and-sports-competitors.htm,entertainment-and-sports,athletes-and-sports-competitors
Athletic Coach,https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,entertainment-and-sports,coaches-and-scouts
Athletic Events Scorer,https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,entertainment-and-sports,umpires-referees-and-other-sports-officials
Athletic trainers,https://www.bls.gov/ooh/healthcare/athletic-trainers.htm,healthcare,athletic-trainers
Atmospheric Chemist,https://www.bls.gov/ooh/life-physical-and-social-science/atmospheric-scientists-including-meteorologists.htm,life-physical-and-social-science,atmospheric-scientists-including-meteorologists
Atomic Process Engineer,https://www.bls.gov/ooh/architecture-and-engineering/nuclear-engineers.htm,architecture-and-engineering,nuclear-engineers
Audio-Visual Production Specialist,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,media-and-communication,broadcast-and-sound-engineering-technicians
Audiologists,https://www.bls.gov/ooh/healthcare/audiologists.htm,healthcare,audiologists
Au Pair,https://www.bls.gov/ooh/personal-care-and-service/childcare-workers.htm,personal-care-and-service,childcare-workers
Auto Body Customizer,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-body-and-glass-repairers.htm,installation-maintenance-and-repair,automotive-body-and-glass-repairers
Auto Carrier Driver,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,transportation-and-material-moving,heavy-and-tractor-trailer-truck-drivers
Auto Clutch Rebuilder,https://www.bls.gov/ooh/installation-maintenance-and-repair/automotive-service-technicians-and-mechanics.htm,installation-maintenance-and-repair,automotive-service-technicians-and-mechanics
Auto Damage Appraiser,https://www.bls.gov/ooh/business-and-financial/claims-adjusters-appraisers-examiners-and-investigators.htm,business-and-financial,claims-adjusters-appraisers-examiners-and-investigators
Automatic Data Processing Planner,https://www.bls.gov/ooh/computer-and-information-technology/database-administrators.htm,computer-and-information-technology,database-administrators
Automobile and Property Underwriter,https://www.bls.gov/ooh/business-and-financial/insurance-underwriters.htm,business-and-financial,insurance-underwriters
Automobile Designer,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,arts-and-design,industrial-designers
Automotive Machinist,https://www.bls.gov/ooh/production/machinists-and-tool-and-die-makers.htm,production,machinists-and-tool-and-die-makers
Automotive Sheet Metal Engineer,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,architecture-and-engineering,materials-engineers
Autopsy Assistant,https://www.bls.gov/ooh/healthcare/medical-assistants.htm,healthcare,medical-assistants
Auto Research Engineer,https://www.bls.gov/ooh/architecture-and-engineering/mechanical-engineers.htm,architecture-and-engineering,mechanical-engineers
Auto Travel Counselor,https://www.bls.gov/ooh/sales/travel-agents.htm,sales,travel-agents
Backup Sawyer,https://www.bls.gov/ooh/production/woodworkers.htm,production,woodworkers
Bacteriologist,https://www.bls.gov/ooh/life-physical-and-social-science/microbiologists.htm,life-physical-and-social-science,microbiologists
Bacteriology Technician,https://www.bls.gov/ooh/life-physical-and-social-science/biological-technicians.htm,life-physical-and-social-science,biological-technicians
Bagel Maker,https://www.bls.gov/ooh/production/bakers.htm,production,bakers
Bag Machine Adjuster,https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,installation-maintenance-and-repair,industrial-machinery-mechanics-and-maintenance-workers-and-millwrights
Ballerina,https://www.bls.gov/ooh/entertainment-and-sports/dancers-and-choreographers.htm,entertainment-and-sports,dancers-and-choreographers
Ballistician,https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,life-physical-and-social-science,forensic-science-technicians
Bank Branch Manager,https://www.bls.gov/ooh/management/financial-managers.htm,management,financial-managers
Bank Compliance Officer,https://www.bls.gov/ooh/business-and-financial/financial-examiners.htm,business-and-financial,financial-examiners
Banking Services Clerk,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,office-and-administrative-support,financial-clerks
Bank Teller,https://www.bls.gov/ooh/office-and-administrative-support/tellers.htm,office-and-administrative-support,tellers
Banquet Chef,https://www.bls.gov/ooh/food-preparation-and-serving/chefs-and-head-cooks.htm,food-preparation-and-serving,chefs-and-head-cooks
Banquet Cook,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,food-preparation-and-serving,cooks
Banquet Director,https://www.bls.gov/ooh/management/food-service-managers.htm,management,food-service-managers
Banquet Set Up Person,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,food-preparation-and-serving,food-and-beverage-serving-and-related-workers
Barber Apprentice,https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm,personal-care-and-service,barbers-hairstylists-and-cosmetologists
Barkeep,https://www.bls.gov/ooh/food-preparation-and-serving/bartenders.htm,food-preparation-and-serving,bartenders
Beach Lifeguard,https://www.bls.gov/ooh/protective-service/recreational-protective-service-workers.htm,protective-service,recreational-protective-service-workers
Beam Builder,https://www.bls.gov/ooh/construction-and-extraction/carpenters.htm,construction-and-extraction,carpenters
Bean Weigher,https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,office-and-administrative-support,material-recording-clerks
Bed and Breakfast Innkeeper,https://www.bls.gov/ooh/management/lodging-managers.htm,management,lodging-managers
Beef Splitter,https://www.bls.gov/ooh/production/butchers-and-meat-cutters.htm,production,butchers-and-meat-cutters
Behavioral Health Technician,https://www.bls.gov/ooh/healthcare/psychiatric-technicians-and-aides.htm,healthcare,psychiatric-technicians-and-aides
Benefits Analyst,https://www.bls.gov/ooh/business-and-financial/compensation-benefits-and-job-analysis-specialists.htm,business-and-financial,compensation-benefits-and-job-analysis-specialists
Bio-Mechanical Engineer,https://www.bls.gov/ooh/architecture-and-engineering/biomedical-engineers.htm,architecture-and-engineering,biomedical-engineers
Biochemist,https://www.bls.gov/ooh/life-physical-and-social-science/biochemists-and-biophysicists.htm,life-physical-and-social-science,biochemists-and-biophysicists
Biochemistry Technologist,https://www.bls.gov/ooh/healthcare/clinical-laboratory-technologists-and-technicians.htm,healthcare,clinical-laboratory-technologists-and-technicians
