group,slug,url,status
production,metal-and-plastic-machine-workers,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,cached
math,mathematicians-and-statisticians,https://www.bls.gov/ooh/math/mathematicians-and-statisticians.htm,cached
education-training-and-library,tutors,https://www.bls.gov/ooh/education-training-and-library/tutors.htm,cached
farming-fishing-and-forestry,fishers-and-related-fishing-workers,https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm,cached
installation-maintenance-and-repair,small-engine-mechanics,https://www.bls.gov/ooh/installation-maintenance-and-repair/small-engine-mechanics.htm,cached
production,food-and-tobacco-processing-workers,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,cached
legal,arbitrators-mediators-and-conciliators,https://www.bls.gov/ooh/legal/arbitrators-mediators-and-conciliators.htm,cached
production,welders-cutters-solderers-and-brazers,https://www.bls.gov/ooh/production/welders-cutters-solderers-and-brazers.htm,cached
healthcare,emts-and-paramedics,https://www.bls.gov/ooh/healthcare/emts-and-paramedics.htm,cached
healthcare,orthotists-and-prosthetists,https://www.bls.gov/ooh/healthcare/orthotists-and-prosthetists.htm,cached
media-and-communication,interpreters-and-translators,https://www.bls.gov/ooh/media-and-communication/interpreters-and-translators.htm,cached
production,quality-control-inspectors,https://www.bls.gov/ooh/production/quality-control-inspectors.htm,cached
management,entertainment-and-recreation-managers,https://www.bls.gov/ooh/management/entertainment-and-recreation-managers.htm,cached
healthcare,physician-assistants,https://www.bls.gov/ooh/healthcare/physician-assistants.htm,cached
construction-and-extraction,construction-equipment-operators,https://www.bls.gov/ooh/construction-and-extraction/construction-equipment-operators.htm,cached
personal-care-and-service,animal-care-and-service-workers,https://www.bls.gov/ooh/personal-care-and-service/animal-care-and-service-workers.htm,cached
healthcare,veterinarians,https://www.bls.gov/ooh/healthcare/veterinarians.htm,cached
media-and-communication,announcers,https://www.bls.gov/ooh/media-and-communication/announcers.htm,cached
architecture-and-engineering,electrical-and-electronics-engineers,https://www.bls.gov/ooh/architecture-and-engineering/electrical-and-electronics-engineers.htm,cached
life-physical-and-social-science,anthropologists-and-archeologists,https://www.bls.gov/ooh/life-physical-and-social-science/anthropologists-and-archeologists.htm,cached
management,property-real-estate-and-community-association-managers,https://www.bls.gov/ooh/management/property-real-estate-and-community-association-managers.htm,cached
healthcare,pharmacists,https://www.bls.gov/ooh/healthcare/pharmacists.htm,cached
