group,slug,url,page_title,median_pay,education,experience,training,jobs_2025,growth,change,openings_per_year,all_occ_median_wage,all_occ_growth_pct,page_last_modified,median_pay_usd,growth_pct,jobs_2025_n,employment_change_n,openings_per_year_n,all_occ_median_wage_usd,all_occ_growth_pct_n,education_clean,education_level,openings_rate_pct,growth_jobs_per_year,replacement_share,pay_vs_national,above_median_pay
production,power-plant-operators-distributors-and-dispatchers,https://www.bls.gov/ooh/production/power-plant-operators-distributors-and-dispatchers.htm,"Power Plant Operators, Distributors, and Dispatchers","$105,080     per year
                                        $50.52     per hour",High school diploma or equivalent,None,Long-term on-the-job training,43700,-4% (Decline),-1700,3400,"$50,980",3%,"August 27, 2026",105080,-4,43700,-1700,3400,50980,3,High school diploma or equivalent,High school diploma or equivalent,7.780320366132723,-170,1,54100,TRUE
life-physical-and-social-science,hydrologists,https://www.bls.gov/ooh/life-physical-and-social-science/hydrologists.htm,Hydrologists,"$96,600     per year
                                        $46.44     per hour",Bachelor's degree,None,None,6300,1% (Slower than average),100,400,"$50,980",3%,"August 27, 2026",96600,1,6300,100,400,50980,3,Bachelor's degree,Bachelor's degree,6.349206349206349,10,0.975,45620,TRUE
architecture-and-engineering,industrial-engineering-technicians,https://www.bls.gov/ooh/architecture-and-engineering/industrial-engineering-technicians.htm,Industrial Engineering Technologists and Technicians,"$66,120     per year
                                        $31.79     per hour",Associate's degree,None,None,76700,3% (As fast as average),2400,6600,"$50,980",3%,"August 27, 2026",66120,3,76700,2400,6600,50980,3,Associate's degree,Associate's degree,8.604954367666233,240,0.9636363636363636,15140,TRUE
management,industrial-production-managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,Industrial Production Managers,"$126,060     per year
                                        $60.61     per hour",Bachelor's degree,5 years or more,None,252100,3% (As fast as average),6500,17000,"$50,980",3%,"August 27, 2026",126060,3,252100,6500,17000,50980,3,Bachelor's degree,Bachelor's degree,6.743355811186038,650,0.961764705882353,75080,TRUE
production,water-and-wastewater-treatment-plant-and-system-operators,https://www.bls.gov/ooh/production/water-and-wastewater-treatment-plant-and-system-operators.htm,Water and Wastewater Treatment Plant and System Operators,"$60,020     per year
                                        $28.86     per hour",High school diploma or equivalent,None,Long-term on-the-job training,131000,-6% (Decline),-7500,10000,"$50,980",3%,"August 27, 2026",60020,-6,131000,-7500,10000,50980,3,High school diploma or equivalent,High school diploma or equivalent,7.633587786259542,-750,1,9040,TRUE
education-training-and-library,middle-school-teachers,https://www.bls.gov/ooh/education-training-and-library/middle-school-teachers.htm,Middle School Teachers,"$64,370     per year",Bachelor's degree,None,None,630100,0% (Little or no change),-2600,38800,"$50,980",3%,"August 27, 2026",64370,0,630100,-2600,38800,50980,3,Bachelor's degree,Bachelor's degree,6.157752737660688,-260,1,13390,TRUE
healthcare,veterinary-assistants-and-laboratory-animal-caretakers,https://www.bls.gov/ooh/healthcare/veterinary-assistants-and-laboratory-animal-caretakers.htm,Veterinary Assistants and Laboratory Animal Caretakers,"$38,150     per year
                                        $18.34     per hour",High school diploma or equivalent,None,Short-term on-the-job training,132100,9% (Much faster than average),12000,23200,"$50,980",3%,"August 27, 2026",38150,9,132100,12000,23200,50980,3,High school diploma or equivalent,High school diploma or equivalent,17.56245268735806,1200,0.9482758620689655,-12830,FALSE
computer-and-information-technology,network-and-computer-systems-administrators,https://www.bls.gov/ooh/computer-and-information-technology/network-and-computer-systems-administrators.htm,Network and Computer Systems Administrators,"$99,130     per year
                                        $47.66     per hour",Bachelor's degree,None,None,323600,-4% (Decline),-13200,13400,"$50,980",3%,"August 27, 2026",99130,-4,323600,-13200,13400,50980,3,Bachelor's degree,Bachelor's degree,4.140914709517923,-1320,1,48150,TRUE
healthcare,speech-language-pathologists,https://www.bls.gov/ooh/healthcare/speech-language-pathologists.htm,Speech-Language Pathologists,"$97,870     per year
                                        $47.05     per hour",Master's degree,None,Internship/residency,193400,17% (Much faster than average),32100,12500,"$50,980",3%,"August 27, 2026",97870,17,193400,32100,12500,50980,3,Master's degree,Master's degree,6.463288521199586,3210,0.7432000000000001,46890,TRUE
healthcare,licensed-practical-and-licensed-vocational-nurses,https://www.bls.gov/ooh/healthcare/licensed-practical-and-licensed-vocational-nurses.htm,Licensed Practical and Licensed Vocational Nurses,"$64,400     per year
                                        $30.96     per hour",Postsecondary nondegree award,None,None,666900,3% (As fast as average),19700,51800,"$50,980",3%,"August 27, 2026",64400,3,666900,19700,51800,50980,3,Postsecondary nondegree award,Postsecondary nondegree award,7.767281451491978,1970,0.961969111969112,13420,TRUE
business-and-financial,logisticians,https://www.bls.gov/ooh/business-and-financial/logisticians.htm,Logisticians,"$82,320     per year
                                        $39.58     per hour",Bachelor's degree,None,None,255100,18% (Much faster than average),44900,26600,"$50,980",3%,"August 27, 2026",82320,18,255100,44900,26600,50980,3,Bachelor's degree,Bachelor's degree,10.427283418267345,4490,0.831203007518797,31340,TRUE
architecture-and-engineering,marine-engineers-and-naval-architects,https://www.bls.gov/ooh/architecture-and-engineering/marine-engineers-and-naval-architects.htm,Marine Engineers and Naval Architects,"$112,230     per year
                                        $53.96     per hour",Bachelor's degree,None,None,8400,7% (Much faster than average),600,500,"$50,980",3%,"August 27, 2026",112230,7,8400,600,500,50980,3,Bachelor's degree,Bachelor's degree,5.9523809523809526,60,0.88,61250,TRUE
military,military-careers,https://www.bls.gov/ooh/military/military-careers.htm,Military Careers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"August 27, 2026",NA,NA,NA,NA,NA,50980,3,NA,NA,NA,NA,NA,NA,NA
architecture-and-engineering,petroleum-engineers,https://www.bls.gov/ooh/architecture-and-engineering/petroleum-engineers.htm,Petroleum Engineers,"$144,910     per year
                                        $69.67     per hour",Bachelor's degree,None,None,18500,2% (Slower than average),400,1000,"$50,980",3%,"August 27, 2026",144910,2,18500,400,1000,50980,3,Bachelor's degree,Bachelor's degree,5.405405405405405,40,0.96,93930,TRUE
life-physical-and-social-science,nuclear-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/nuclear-technicians.htm,Nuclear Technicians,"$110,240     per year
                                        $53.00     per hour",Associate's degree,None,Moderate-term on-the-job training,6700,1% (Slower than average),100,900,"$50,980",3%,"August 27, 2026",110240,1,6700,100,900,50980,3,Associate's degree,Associate's degree,13.432835820895523,10,0.9888888888888889,59260,TRUE
healthcare,occupational-therapists,https://www.bls.gov/ooh/healthcare/occupational-therapists.htm,Occupational Therapists,"$100,330     per year
                                        $48.24     per hour",Master's degree,None,None,169600,15% (Much faster than average),25200,10000,"$50,980",3%,"August 27, 2026",100330,15,169600,25200,10000,50980,3,Master's degree,Master's degree,5.89622641509434,2520,0.748,49350,TRUE
math,operations-research-analysts,https://www.bls.gov/ooh/math/operations-research-analysts.htm,Operations Research Analysts,"$88,940     per year
                                        $42.76     per hour",Bachelor's degree,None,None,113100,12% (Much faster than average),13500,7500,"$50,980",3%,"August 27, 2026",88940,12,113100,13500,7500,50980,3,Bachelor's degree,Bachelor's degree,6.63129973474801,1350,0.8200000000000001,37960,TRUE
construction-and-extraction,solar-photovoltaic-installers,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,Solar Photovoltaic Installers,"$53,140     per year
                                        $25.55     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,31100,37% (Much faster than average),11300,4200,"$50,980",3%,"August 27, 2026",53140,37,31100,11300,4200,50980,3,High school diploma or equivalent,High school diploma or equivalent,13.504823151125402,1130,0.730952380952381,2160,TRUE
life-physical-and-social-science,survey-researchers,https://www.bls.gov/ooh/life-physical-and-social-science/survey-researchers.htm,Survey Researchers,"$69,460     per year
                                        $33.40     per hour",Master's degree,None,None,9800,-5% (Decline),-500,600,"$50,980",3%,"August 27, 2026",69460,-5,9800,-500,600,50980,3,Master's degree,Master's degree,6.122448979591836,-50,1,18480,TRUE
healthcare,radiation-therapists,https://www.bls.gov/ooh/healthcare/radiation-therapists.htm,Radiation Therapists,"$105,310     per year
                                        $50.63     per hour",Associate's degree,None,None,17400,3% (As fast as average),500,700,"$50,980",3%,"August 27, 2026",105310,3,17400,500,700,50980,3,Associate's degree,Associate's degree,4.022988505747127,50,0.9285714285714286,54330,TRUE
arts-and-design,set-and-exhibit-designers,https://www.bls.gov/ooh/arts-and-design/set-and-exhibit-designers.htm,Set and Exhibit Designers,"$75,240     per year
                                        $36.17     per hour",Bachelor's degree,None,None,31600,1% (Slower than average),500,2200,"$50,980",3%,"August 27, 2026",75240,1,31600,500,2200,50980,3,Bachelor's degree,Bachelor's degree,6.962025316455696,50,0.9772727272727273,24260,TRUE
installation-maintenance-and-repair,wind-turbine-technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,Wind Turbine Technicians,"$64,120     per year
                                        $30.83     per hour",Postsecondary nondegree award,None,Long-term on-the-job training,11800,30% (Much faster than average),3500,1500,"$50,980",3%,"August 27, 2026",64120,30,11800,3500,1500,50980,3,Postsecondary nondegree award,Postsecondary nondegree award,12.711864406779661,350,0.7666666666666666,13140,TRUE
